Date,Open,High,Low,Close,Volume
09/25/2018,62900,63289,62512,62512,1031520
09/26/2018,62512,62997,61930,61930,2099660
09/27/2018,61930,62318,61347,61541,2121040
09/28/2018,61833,62124,61153,61153,2104400
10/01/2018,61638,61638,60668,60668,1932610
10/02/2018,60668,61250,60377,61153,1601040
10/03/2018,61541,61638,60668,61153,1034920
10/04/2018,61153,62124,60959,61153,2298750
10/05/2018,61448,61940,61055,61055,1633520
10/08/2018,60957,61350,60563,60563,1347760
10/09/2018,60760,61153,60563,60662,868060
10/10/2018,60858,60957,60367,60662,781330
10/11/2018,58990,58990,56532,56729,3432840
10/12/2018,56041,58892,56041,58892,2266290
10/15/2018,58794,58990,57712,58105,1155630
10/16/2018,58007,58597,57909,58204,1079700
10/17/2018,58892,58892,58105,58204,1293490
10/18/2018,58007,58204,56926,57024,1605080
10/19/2018,56041,57614,56041,56729,1188910
10/22/2018,57516,57810,56139,56139,1204690
10/23/2018,56041,56336,53091,54861,2346810
10/24/2018,54861,55647,54566,54566,1474260
10/25/2018,52108,54271,52108,53878,1744120
10/26/2018,54959,54959,52600,52600,1220360
10/29/2018,52403,52993,51616,52010,1261730
10/30/2018,52010,53386,51813,53288,1337430
10/31/2018,53288,55746,53288,54664,1245750
11/01/2018,54861,54959,53878,54074,1221200
11/02/2018,54074,55353,54074,55254,1136910
11/05/2018,54959,55549,54664,55549,873020
11/06/2018,56041,56041,54861,54861,667710
11/07/2018,54861,55254,54173,54566,668290
11/08/2018,55746,55844,54763,54763,575720
11/09/2018,54271,54763,53386,53386,885690
11/12/2018,53091,53681,51911,53681,687980
11/13/2018,52403,53585,52599,52895,601520
11/14/2018,52698,53386,51911,52305,530120
11/15/2018,52305,52698,51616,52501,828510
11/16/2018,53091,53190,52206,52305,1227840
11/19/2018,53091,53091,52305,53091,1145500
11/20/2018,53091,53091,52403,52895,1086240
11/21/2018,52206,54468,52108,54468,1908000
11/22/2018,54074,54566,53779,53878,961120
11/23/2018,53779,54074,53091,53091,897050
11/26/2018,53091,53386,52796,53091,673900
11/27/2018,53485,53779,52305,52501,1284900
11/28/2018,52501,54173,52501,54173,1483680
11/29/2018,54664,55451,54074,54074,2360280
11/30/2018,53976,55058,53878,54468,1430640
12/03/2018,55746,57024,55254,57024,2226730
12/04/2018,56827,57319,56139,56631,1367410
12/05/2018,56041,57221,55549,56827,2014850
12/06/2018,56434,57024,55746,55942,2258320
12/07/2018,56434,56729,56139,56237,835390
12/10/2018,56237,56434,55647,55942,1050910
12/11/2018,55942,56237,55254,55844,1119050
12/12/2018,56336,57024,55844,57024,1466430
12/13/2018,57319,57417,56631,56631,851900
12/14/2018,56532,56631,55549,55549,880580
12/17/2018,55058,55451,53878,53878,1787440
12/18/2018,53190,54566,53190,54173,1459730
12/19/2018,54173,54468,53190,53485,1131780
12/20/2018,53386,54271,53386,53681,877260
12/21/2018,53583,53583,52895,53583,1690120
12/24/2018,53583,53976,52206,52206,864160
12/25/2018,51125,52108,50142,51813,1964060
12/26/2018,51715,52600,51715,51911,782180
12/27/2018,53091,53386,52600,52600,571770
12/28/2018,52895,53583,52403,52600,781690
01/02/2019,52993,53386,52600,52698,1081640
01/03/2019,53091,53190,51813,52698,1071350
01/04/2019,52403,53485,51715,53485,1307310
01/07/2019,54369,54566,53583,53681,1175810
01/08/2019,54074,54271,53583,54074,1318810
01/09/2019,54566,55156,53878,54861,1136370
01/10/2019,54861,54861,54074,54074,794870
01/11/2019,54271,54566,53976,54271,1115410
01/14/2019,54271,54566,53976,54369,759980
01/15/2019,54369,55156,54271,54959,1071080
01/16/2019,55353,55353,54074,54468,706160
01/17/2019,54369,54763,54173,54271,460060
01/18/2019,54271,54468,53878,53878,542400
01/21/2019,53681,55254,53583,54861,870530
01/22/2019,55058,55058,54271,54271,398340
01/23/2019,53976,54566,53976,54468,514720
01/24/2019,54468,54664,54074,54468,463870
01/25/2019,54566,55156,54468,54861,1008850
01/28/2019,55058,55058,54566,54566,336990
01/29/2019,54566,55746,54271,55746,973050
01/30/2019,55746,56237,55746,55746,1152720
01/31/2019,55844,56434,55844,55844,1147760
02/01/2019,56041,56434,55549,55549,827040
02/11/2019,56041,57221,55844,57122,1395030
02/12/2019,57122,58007,56827,57614,1683680
02/13/2019,57614,58892,57614,58794,1853680
02/14/2019,58794,59285,58597,59187,1629070
02/15/2019,58990,58990,58204,58302,1249180
02/18/2019,58499,58990,58499,58990,1027840
02/19/2019,58990,59187,58007,58007,1304520
02/20/2019,58302,58597,57909,58105,818480
02/21/2019,58499,59089,58105,59089,2044240
02/22/2019,59187,61350,58990,60957,2502840
02/25/2019,61448,62825,61252,62333,2079790
02/26/2019,62333,62431,60858,61940,1976570
02/27/2019,61743,61940,60563,60858,1148480
02/28/2019,60858,61448,59482,59482,2027080
